Iterations,Adagrad,AdagradG
256,-115.459152785,-100.642397969
257,-115.439245962,-100.642397947
258,-115.419402641,-100.642397926
259,-115.399622417,-100.642397906
260,-115.379904893,-100.642397887
261,-115.360249674,-100.642397869
262,-115.340656371,-100.642397852
263,-115.321124596,-100.642397836
264,-115.301653969,-100.642397821
265,-115.282244112,-100.642397806
266,-115.26289465,-100.642397793
267,-115.243605214,-100.642397779
268,-115.224375438,-100.642397767
269,-115.205204958,-100.642397755
270,-115.186093417,-100.642397744
271,-115.167040459,-100.642397733
272,-115.148045733,-100.642397723
273,-115.129108891,-100.642397713
274,-115.110229589,-100.642397704
275,-115.091407485,-100.642397695
276,-115.072642243,-100.642397687
277,-115.053933528,-100.642397679
278,-115.035281008,-100.642397671
279,-115.016684358,-100.642397664
280,-114.998143251,-100.642397657
281,-114.979657367,-100.642397651
282,-114.961226388,-100.642397645
283,-114.942849999,-100.642397639
284,-114.924527887,-100.642397634
285,-114.906259743,-100.642397628
286,-114.888045262,-100.642397623
287,-114.86988414,-100.642397619
288,-114.851776076,-100.642397614
289,-114.833720774,-100.64239761
290,-114.815717939,-100.642397606
291,-114.797767277,-100.642397602
292,-114.779868501,-100.642397598
293,-114.762021323,-100.642397595
294,-114.74422546,-100.642397591
295,-114.72648063,-100.642397588
296,-114.708786554,-100.642397585
297,-114.691142956,-100.642397582
298,-114.673549562,-100.64239758
299,-114.656006101,-100.642397577
300,-114.638512303,-100.642397575
