Iterations,NAG,NAGG
199,-197.407713474,-187.936363277
200,-197.372902462,-187.934486739
201,-197.338241023,-187.932383036
202,-197.303727932,-187.930059679
203,-197.269361992,-187.927524417
204,-197.235142032,-187.92478522
205,-197.201066908,-187.921850274
206,-197.167135503,-187.918727973
207,-197.133346725,-187.915426908
208,-197.099699505,-187.911955861
209,-197.066192799,-187.908323798
210,-197.032825588,-187.904539859
211,-196.999596872,-187.900613351
212,-196.966505676,-187.896553734
213,-196.933551044,-187.892370614
214,-196.900732043,-187.888073723
215,-196.868047759,-187.883672907
216,-196.835497296,-187.879178105
217,-196.803079779,-187.874599331
218,-196.770794351,-187.869946648
219,-196.738640171,-187.865230143
220,-196.706616419,-187.8604599
221,-196.674722286,-187.855645973
222,-196.642956985,-187.850798353
223,-196.611319741,-187.845926934
224,-196.579809794,-187.841041487
225,-196.548426402,-187.836151627
226,-196.517168832,-187.831266778
227,-196.48603637,-187.826396148
228,-196.455028311,-187.8215487
229,-196.424143965,-187.816733126
230,-196.393382655,-187.811957825
231,-196.362743713,-187.807230886
232,-196.332226485,-187.802560066
233,-196.301830327,-187.797952785
234,-196.271554606,-187.79341611
235,-196.241398701,-187.788956754
236,-196.211361996,-187.784581072
237,-196.181443891,-187.78029506
238,-196.151643791,-187.776104356
239,-196.12196111,-187.77201425
240,-196.092395273,-187.768029687
241,-196.062945711,-187.76415527
242,-196.033611865,-187.760395276
243,-196.004393181,-187.756753656
244,-195.975289114,-187.753234048
245,-195.946299126,-187.749839779
246,-195.917422686,-187.746573874
247,-195.888659268,-187.743439061
248,-195.860008354,-187.740437771
249,-195.831469432,-187.737572146
250,-195.803041994,-187.734844033
251,-195.774725539,-187.732254993
252,-195.74651957,-187.729806291
253,-195.718423598,-187.727498904
254,-195.690437135,-187.725333513
255,-195.6625597,-187.723310507
256,-195.634790816,-187.721429978
257,-195.60713001,-187.719691721
258,-195.579576814,-187.71809524
259,-195.552130762,-187.716639742
260,-195.524791393,-187.715324145
261,-195.49755825,-187.71414708
262,-195.470430878,-187.713106896
263,-195.443408827,-187.712201669
264,-195.416491648,-187.711429206
265,-195.389678897,-187.710787058
266,-195.362970132,-187.710272528
267,-195.336364913,-187.709882685
268,-195.309862803,-187.709614374
269,-195.283463368,-187.709464226
270,-195.257166175,-187.709428679
271,-195.230970796,-187.709503985
272,-195.204876801,-187.709686229
273,-195.178883765,-187.709971337
274,-195.152991265,-187.710355098
275,-195.127198877,-187.710833173
276,-195.101506183,-187.71140111
277,-195.075912762,-187.71205436
278,-195.050418198,-187.712788287
279,-195.025022076,-187.713598185
280,-194.999723981,-187.714479289
281,-194.9745235,-187.715426788
282,-194.949420222,-187.716435838
283,-194.924413736,-187.717501573
284,-194.899503634,-187.718619115
285,-194.874689507,-187.719783588
286,-194.849970948,-187.720990128
287,-194.825347553,-187.722233889
288,-194.800818915,-187.723510059
289,-194.776384632,-187.724813861
290,-194.752044301,-187.726140569
291,-194.727797519,-187.727485512
292,-194.703643886,-187.728844083
293,-194.679583001,-187.730211745
294,-194.655614465,-187.731584039
295,-194.63173788,-187.732956591
296,-194.607952849,-187.734325119
297,-194.584258974,-187.735685439
298,-194.560655859,-187.737033468
299,-194.537143109,-187.738365238
