Iterations,NAG,NAGG
197,-908.245224752,-908.201254816
198,-908.244989601,-908.201598821
199,-908.244777898,-908.201921381
200,-908.244589716,-908.202213422
201,-908.244424866,-908.202466926
202,-908.244282903,-908.20267505
203,-908.244163139,-908.202832207
204,-908.244064658,-908.202934123
205,-908.243986332,-908.202977866
206,-908.243926835,-908.202961831
207,-908.243884668,-908.202885715
208,-908.243858169,-908.20275045
209,-908.243845541,-908.202558122
210,-908.243844867,-908.202311871
211,-908.243854131,-908.202015767
212,-908.243871241,-908.201674687
213,-908.243894048,-908.201294172
214,-908.243920367,-908.200880282
215,-908.243947993,-908.200439461
216,-908.243974726,-908.199978384
217,-908.243998384,-908.199503828
218,-908.244016827,-908.199022542
219,-908.244027964,-908.198541123
220,-908.244029779,-908.198065912
221,-908.244020337,-908.197602893
222,-908.243997804,-908.197157613
223,-908.243960452,-908.196735108
224,-908.243906675,-908.196339849
225,-908.243834997,-908.195975691
226,-908.243744077,-908.195645851
227,-908.24363272,-908.195352878
228,-908.243499879,-908.195098652
229,-908.243344659,-908.194884383
230,-908.243166321,-908.194710622
231,-908.242964283,-908.194577285
232,-908.242738118,-908.194483678
233,-908.242487555,-908.194428533
234,-908.242212475,-908.194410053
235,-908.24191291,-908.194425955
236,-908.241589037,-908.194473526
237,-908.241241172,-908.194549676
238,-908.240869765,-908.194650998
239,-908.240475393,-908.19477383
240,-908.240058753,-908.194914317
241,-908.239620654,-908.195068474
242,-908.239162006,-908.195232253
243,-908.238683815,-908.195401601
244,-908.238187171,-908.195572527
245,-908.237673239,-908.195741159
246,-908.237143249,-908.1959038
247,-908.236598488,-908.196056985
248,-908.236040286,-908.196197522
249,-908.235470014,-908.196322547
250,-908.234889066,-908.196429552
251,-908.234298854,-908.196516423
252,-908.233700798,-908.196581464
253,-908.23309632,-908.196623419
254,-908.232486828,-908.196641478
255,-908.231873717,-908.196635287
256,-908.231258356,-908.196604941
257,-908.230642081,-908.196550979
258,-908.230026191,-908.196474359
259,-908.22941194,-908.19637644
260,-908.228800531,-908.196258949
261,-908.228193112,-908.196123945
262,-908.227590771,-908.195973773
263,-908.226994535,-908.195811021
264,-908.226405361,-908.195638471
265,-908.225824138,-908.195459039
266,-908.225251684,-908.195275726
267,-908.224688742,-908.195091558
268,-908.224135981,-908.194909532
269,-908.223593997,-908.194732561
270,-908.22306331,-908.194563419
271,-908.222544364,-908.194404695
272,-908.222037531,-908.194258746
273,-908.221543111,-908.194127659
274,-908.221061333,-908.194013214
275,-908.220592357,-908.193916858
276,-908.220136277,-908.193839684
277,-908.219693124,-908.193782416
278,-908.219262868,-908.193745408
279,-908.218845422,-908.193728636
280,-908.218440646,-908.193731715
281,-908.218048347,-908.193753911
282,-908.21766829,-908.193794162
283,-908.217300192,-908.193851108
284,-908.216943736,-908.193923125
285,-908.216598566,-908.194008357
286,-908.216264298,-908.194104765
287,-908.215940521,-908.194210166
288,-908.215626798,-908.194322281
289,-908.215322677,-908.194438777
290,-908.215027688,-908.194557319
291,-908.21474135,-908.194675609
292,-908.214463175,-908.194791435
293,-908.214192669,-908.194902702
294,-908.213929338,-908.195007477
295,-908.21367269,-908.195104013
296,-908.213422236,-908.195190784
297,-908.213177497,-908.195266498
298,-908.212938003,-908.19533012
299,-908.212703297,-908.19538088
